,0
0,"FrozenTrial(number=0, values=[-221.29564212500003], datetime_start=datetime.datetime(2021, 3, 27, 20, 15, 9, 586294), datetime_complete=datetime.datetime(2021, 3, 27, 20, 15, 16, 79186), params={'learning_rate': 0.00040147018427752875, 'hidden_layer_neurons': 128, 'batch_size': 128, 'train_freq': 2, 'gradient_steps': 1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=1, state=TrialState.COMPLETE, value=None)"
1,"FrozenTrial(number=1, values=[-233.988985875], datetime_start=datetime.datetime(2021, 3, 27, 20, 15, 16, 95369), datetime_complete=datetime.datetime(2021, 3, 27, 20, 15, 22, 642476), params={'learning_rate': 0.0007633900678088236, 'hidden_layer_neurons': 256, 'batch_size': 4, 'train_freq': 1, 'gradient_steps': -1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=2, state=TrialState.COMPLETE, value=None)"
2,"FrozenTrial(number=2, values=[-214.161234375], datetime_start=datetime.datetime(2021, 3, 27, 20, 15, 22, 655542), datetime_complete=datetime.datetime(2021, 3, 27, 20, 15, 29, 309936), params={'learning_rate': 0.0006545032695627395, 'hidden_layer_neurons': 128, 'batch_size': 4, 'train_freq': 32, 'gradient_steps': 1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=3, state=TrialState.COMPLETE, value=None)"
3,"FrozenTrial(number=3, values=[-230.65998050000002], datetime_start=datetime.datetime(2021, 3, 27, 20, 15, 29, 323518), datetime_complete=datetime.datetime(2021, 3, 27, 20, 15, 36, 366709), params={'learning_rate': 0.00015986941609670514, 'hidden_layer_neurons': 512, 'batch_size': 50, 'train_freq': 4, 'gradient_steps': -1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=4, state=TrialState.COMPLETE, value=None)"
4,"FrozenTrial(number=4, values=[-394.346472875], datetime_start=datetime.datetime(2021, 3, 27, 20, 15, 36, 384996), datetime_complete=datetime.datetime(2021, 3, 27, 20, 15, 43, 556804), params={'learning_rate': 0.0007892958112330941, 'hidden_layer_neurons': 512, 'batch_size': 4, 'train_freq': 7, 'gradient_steps': 1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=5, state=TrialState.COMPLETE, value=None)"
5,"FrozenTrial(number=5, values=[-143.3228365], datetime_start=datetime.datetime(2021, 3, 27, 20, 15, 43, 569967), datetime_complete=datetime.datetime(2021, 3, 27, 20, 15, 50, 566873), params={'learning_rate': 0.0009781054835665305, 'hidden_layer_neurons': 128, 'batch_size': 50, 'train_freq': 45, 'gradient_steps': 1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=6, state=TrialState.COMPLETE, value=None)"
6,"FrozenTrial(number=6, values=[-205.665859625], datetime_start=datetime.datetime(2021, 3, 27, 20, 15, 50, 580435), datetime_complete=datetime.datetime(2021, 3, 27, 20, 15, 57, 327686), params={'learning_rate': 0.0007650173793787984, 'hidden_layer_neurons': 512, 'batch_size': 50, 'train_freq': 26, 'gradient_steps': -1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=7, state=TrialState.COMPLETE, value=None)"
7,"FrozenTrial(number=7, values=[-240.97533900000002], datetime_start=datetime.datetime(2021, 3, 27, 20, 15, 57, 340908), datetime_complete=datetime.datetime(2021, 3, 27, 20, 16, 4, 101182), params={'learning_rate': 0.0002357926748854579, 'hidden_layer_neurons': 128, 'batch_size': 1, 'train_freq': 45, 'gradient_steps': 1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=8, state=TrialState.COMPLETE, value=None)"
8,"FrozenTrial(number=8, values=[-230.10985112500003], datetime_start=datetime.datetime(2021, 3, 27, 20, 16, 4, 114539), datetime_complete=datetime.datetime(2021, 3, 27, 20, 16, 10, 900361), params={'learning_rate': 0.00027201851524166526, 'hidden_layer_neurons': 256, 'batch_size': 4, 'train_freq': 24, 'gradient_steps': 1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=9, state=TrialState.COMPLETE, value=None)"
9,"FrozenTrial(number=9, values=[-204.96276087500001], datetime_start=datetime.datetime(2021, 3, 27, 20, 16, 10, 913867), datetime_complete=datetime.datetime(2021, 3, 27, 20, 16, 18, 233656), params={'learning_rate': 0.0005923073946122935, 'hidden_layer_neurons': 128, 'batch_size': 16, 'train_freq': 15, 'gradient_steps': 1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=10, state=TrialState.COMPLETE, value=None)"
